,ydID,Province ,1990sNdeposition,2000sNdeposition,Nitrogendeposition,latitudeN,longitudeE,altitude,MAT¡æ,MAPmm,Amfunalrichness,EcMfunalrichness,Speciesrichness,Amrelativerichness,EcMrelativerichness,aboveCMg_ha,belowgroundCMg_ha,Total_tree_C_Mg_ha,AMaboveC,AMbelowC,AMtotalC,ECMaboveC,ECMbelowC,ECMtotalC
1002,WDSSYF090809090,Heilongjiang,11.25,14.34,12.795,46.588956,133.603761,161,1.8,644,6,4,10,60,40,208.9870811,62.85209226,271.8391733,49.29184008,14.66588922,63.95772928,159.695241,48.18620304,207.8814441
994,WDSSYF090809091,Heilongjiang,11.25,14.34,12.795,46.655639,133.604528,161,1.8,644,9,4,13,69.23076923,30.76923077,149.9386363,43.72561386,193.6642502,69.69379417,20.61538961,90.30918378,80.24484217,23.11022425,103.3550664
1003,WDSSYF090809093,Heilongjiang,11.25,14.34,12.795,46.588917,133.603528,161,1.8,644,7,4,11,63.63636364,36.36363636,237.6417977,85.34152506,322.9833228,34.58598227,10.21741666,44.80339893,203.0558154,75.12410839,278.1799238
1256,XXALYF110803026,Heilongjiang,11.25,14.34,12.795,46.207812,128.7744,162,1.6,632,8,5,14,57.14285714,35.71428571,15.00896828,4.506649497,19.51561777,12.20825365,3.823992717,16.03224637,2.577971759,0.631435703,3.209407462
1143,XXALYF110807047,Heilongjiang,11.25,14.34,12.795,46.321595,129.111968,162,2.3,608,5,5,10,50,50,33.56640122,8.534653763,42.10105498,7.038303939,2.119065842,9.157369783,26.52809728,6.415587922,32.9436852
1173,XXALYF110807052,Heilongjiang,11.25,14.34,12.795,46.311567,129.150763,162,2.3,608,4,5,10,40,50,87.00442714,22.79484329,109.7992704,77.17693906,20.65158823,97.82852728,9.324629283,1.986195424,11.31082471
765,XXALYF110808157,Heilongjiang,11.25,14.34,12.795,47.473563,130.29605,162,1.7,602,1,4,5,20,80,32.09149169,18.30951563,50.40100731,0.692712172,0.227372551,0.920084723,18.54176403,3.161845551,21.70360959
2158,LYLSYF100809065,Jilin,12.84,17.83,15.335,43.045458,130.967683,162.6,3.7,683,13,2,15,86.66666667,13.33333333,238.1514975,107.1022638,345.2537613,0.187598176,0.069988673,0.257586849,237.9638993,107.0322752,344.9961745
1152,XXALYF110806046,Heilongjiang,11.25,14.34,12.795,46.319585,129.15035,163,2.3,608,5,4,10,50,40,32.59451533,7.981589714,40.57610505,0.907172866,0.293248215,1.200421081,4.641432829,1.967243339,6.608676167
1365,ZGCLYF090807070,Heilongjiang,11.25,14.34,12.795,45.730111,129.682972,163,2.7,583,5,4,9,55.55555556,44.44444444,23.97027345,5.722311498,29.69258495,0,0,0,23.97027345,5.7223115,29.69258494
2837,LDSDYF110817006,Liaoning,14.75,18.76,16.755,41.291859,123.643929,163.93,7.5,812,5,3,10,50,30,33.34032906,16.53550028,49.87582935,2.131005313,0.715159897,2.84616521,28.12658273,14.83368727,42.96027001
